fid,covid_testing,ecg_machine,ecg_wait,icu_beds,address,beds,city,country,county,id,latitude,longitude,name,state,status,telephone,type,ventilator,website,zip,total_ecg_machine,total_icu_beds,total_beds,total_ventilator
1,-1,-1,-1,-1,"150 VIA MERIDA",62,"WESTLAKE VILAGE",USA,VENTURA,53391362,34.15493887,-118.8157364,"LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.losrobleshospital.com,91362,-1,-1,-1,-1
2,-1,-1,-1,-1,"4060 WHITTIER BOULEVARD",127,"LOS ANGELES",USA,"LOS ANGELES",11190023,34.0236473,-118.1841648,"EAST LOS ANGELES DOCTORS HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.elalax.com,90023,-1,-1,-1,-1
3,-1,-1,-1,-1,"6245 DE LONGPRE AVENUE",100,HOLLYWOOD,USA,"LOS ANGELES",17090028,34.09639136,-118.3252349,"SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD",CA,OPEN,"(323) 462-2271","GENERAL ACUTE CARE",-1,http://sch-hollywood.com/,90028,-1,-1,-1,-1
4,-1,-1,-1,-1,"14148 FRANCISQUITO AVENUE",95,"BALDWIN PARK",USA,"LOS ANGELES",23691706,34.06303893,-117.9674378,"KINDRED HOSPITAL BALDWIN PARK",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.khbaldwinpark.com,91706,-1,-1,-1,-1
5,-1,-1,-1,-1,"3700 EAST SOUTH STREET",172,LAKEWOOD,USA,"LOS ANGELES",25190712,33.85970662,-118.148403,"LAKEWOOD REGIONAL MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.lakewoodregional.com,90712,-1,-1,-1,-1
6,-1,-1,-1,-1,"323 SOUTH HELIOTROPE AVENUE",49,MONROVIA,USA,"LOS ANGELES",30791016,34.14875866,-117.9926677,"MONROVIA MEMORIAL HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.monroviamemorial.com,91016,-1,-1,-1,-1
7,-1,-1,-1,-1,"900 SOUTH ATLANTIC BOULEVARD",101,"MONTEREY PARK",USA,"LOS ANGELES",30891754,34.04946606,-118.1382622,"MONTEREY PARK HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.montereyparkhosp.com,91754,-1,-1,-1,-1
8,-1,-1,-1,-1,"4025 WEST 226 STREET",16,TORRANCE,USA,"LOS ANGELES",47090505,33.82391446,-118.3560969,"STAR VIEW ADOLESCENT - P H F",CA,OPEN,"NOT AVAILABLE",PSYCHIATRIC,-1,http://www.starsinc.com/,90505,-1,-1,-1,-1
9,-1,-1,-1,-1,"730 MAGNOLIA AVENUE",78,CORONA,USA,RIVERSIDE,9092879,33.85808331,-117.553858,"CORONA REGIONAL MEDICAL CENTER-MAGNOLIA",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.coronaregional.com,92879,-1,-1,-1,-1
10,-1,-1,-1,-1,"228 MC DOWELL STREET",87,ALTURAS,USA,MODOC,30696101,41.48005626,-120.545744,"MODOC MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.modocmedicalcenter.org,96101,-1,-1,-1,-1
11,-1,-1,-1,-1,"450 EAST ROMIE LANE",269,SALINAS,USA,MONTEREY,38593901,36.65903046,-121.6459838,"SALINAS VALLEY MEMORIAL HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.svmh.com,93901,-1,-1,-1,-1
