fid,address,alt_name,beds,city,country,county,countyfips,helipad,id,latitude,longitude,naics_code,naics_desc,name,owner,population,source,sourcedate,st_fips,state,status,telephone,trauma,type,val_date,val_method,website,zip
1,"1025 NORTH DOUTY STREET","NOT AVAILABLE",49,HANFORD,USA,KINGS,6031,N,5793230,36.33615885,-119.6456673,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","CENTRAL VALLEY GENERAL HOSPITAL",PROPRIETARY,49,http://www.oshpd.ca.gov/hid/facility-listing.html,"2/4/2016 0:00",6,CA,CLOSED,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.hanfordhealth.com,93230
2,"150 VIA MERIDA","NOT AVAILABLE",62,"WESTLAKE VILAGE",USA,VENTURA,6111,N,53391362,34.15493887,-118.8157364,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS",PROPRIETARY,62,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.losrobleshospital.com,91362
3,"4060 WHITTIER BOULEVARD","NOT AVAILABLE",127,"LOS ANGELES",USA,"LOS ANGELES",6037,N,11190023,34.0236473,-118.1841648,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","EAST LOS ANGELES DOCTORS HOSPITAL",PROPRIETARY,127,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.elalax.com,90023
4,"6245 DE LONGPRE AVENUE","HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD",100,HOLLYWOOD,USA,"LOS ANGELES",6037,N,17090028,34.09639136,-118.3252349,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD",PROPRIETARY,100,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"(323) 462-2271","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://sch-hollywood.com/,90028
5,"14148 FRANCISQUITO AVENUE","NOT AVAILABLE",95,"BALDWIN PARK",USA,"LOS ANGELES",6037,N,23691706,34.06303893,-117.9674378,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","KINDRED HOSPITAL BALDWIN PARK",PROPRIETARY,95,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.khbaldwinpark.com,91706
6,"3700 EAST SOUTH STREET","NOT AVAILABLE",172,LAKEWOOD,USA,"LOS ANGELES",6037,N,25190712,33.85970662,-118.148403,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","LAKEWOOD REGIONAL MEDICAL CENTER",PROPRIETARY,172,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.lakewoodregional.com,90712
7,"323 SOUTH HELIOTROPE AVENUE","NOT AVAILABLE",49,MONROVIA,USA,"LOS ANGELES",6037,N,30791016,34.14875866,-117.9926677,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","MONROVIA MEMORIAL HOSPITAL",PROPRIETARY,49,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.monroviamemorial.com,91016
8,"900 SOUTH ATLANTIC BOULEVARD","NOT AVAILABLE",101,"MONTEREY PARK",USA,"LOS ANGELES",6037,N,30891754,34.04946606,-118.1382622,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","MONTEREY PARK HOSPITAL",PROPRIETARY,101,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.montereyparkhosp.com,91754
9,"4025 WEST 226 STREET","NOT AVAILABLE",16,TORRANCE,USA,"LOS ANGELES",6037,N,47090505,33.82391446,-118.3560969,622210,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS","STAR VIEW ADOLESCENT - P H F",PROPRIETARY,16,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE",PSYCHIATRIC,"2/10/2014 0:00",IMAGERY/OTHER,http://www.starsinc.com/,90505
10,"730 MAGNOLIA AVENUE","NOT AVAILABLE",78,CORONA,USA,RIVERSIDE,6065,N,9092879,33.85808331,-117.553858,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","CORONA REGIONAL MEDICAL CENTER-MAGNOLIA",PROPRIETARY,78,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.coronaregional.com,92879
11,"228 MC DOWELL STREET","NOT AVAILABLE",87,ALTURAS,USA,MODOC,6049,Y,30696101,41.48005626,-120.545744,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","MODOC MEDICAL CENTER","GOVERNMENT - LOCAL",87,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.modocmedicalcenter.org,96101
12,"450 EAST ROMIE LANE","NOT AVAILABLE",269,SALINAS,USA,MONTEREY,6053,N,38593901,36.65903046,-121.6459838,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","SALINAS VALLEY MEMORIAL HOSPITAL","GOVERNMENT - DISTRICT/AUTHORITY",269,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.svmh.com,93901
13,"1310 THIRD STREET","NOT AVAILABLE",189,"CORPUS CHRISTI",USA,NUECES,48355,Y,12678414,27.77851017,-97.39620831,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","CORPUS CHRISTI SPECIALTY HOSPITAL",PROPRIETARY,189,http://www.dshs.state.tx.us/chs/hosp/hosp2.shtm,"9/23/2014 0:00",48,TX,CLOSED,"(361) 888-4323","NOT AVAILABLE","GENERAL ACUTE CARE","5/8/2020 0:00",IMAGERY/OTHER,"NOT AVAILABLE",78414
14,"393 S. TUSTIN STREET","NOT AVAILABLE",27,ORANGE,USA,ORANGE,6059,N,15992866,33.78272717,-117.8338919,622110,"CHILDREN'S HOSPITALS, GENERAL","HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE",PROPRIETARY,27,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE",CHILDREN,"2/10/2014 0:00",IMAGERY/OTHER,http://www.healthbridgeorange.com,92866
15,"14851 YORBA STREET","NOT AVAILABLE",48,TUSTIN,USA,ORANGE,6059,N,16192680,33.74746074,-117.8310556,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL",PROPRIETARY,48,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.tustinrehab.com,92680
16,"875 NORTH BREA BOULEVARD","NOT AVAILABLE",86,BREA,USA,ORANGE,6059,N,23792621,33.93449589,-117.8939488,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","KINDRED HOSPITAL BREA",PROPRIETARY,86,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.kindredhospitalbrea.com/,92621
17,"200 HOSPITAL CIRCLE","NOT AVAILABLE",109,WESTMINSTER,USA,ORANGE,6059,N,24392683,33.76353321,-117.995256,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","KINDRED HOSPITAL WESTMINSTER",PROPRIETARY,109,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.khwestminster.com/,92683
18,"1100 SO. AKERS STREET","NOT AVAILABLE",63,VISALIA,USA,TULARE,6107,N,22093277,36.32084395,-119.3482345,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH","GOVERNMENT - DISTRICT/AUTHORITY",63,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.kaweahdelta.org,93277
19,"2449 THIRD STREET","NOT AVAILABLE",-999,FOLKSTON,USA,CHARLTON,13049,Y,1931537,30.84527535,-82.00505739,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","CHARLTON MEMORIAL HOSPITAL","GOVERNMENT - DISTRICT/AUTHORITY",-999,http://167.193.144.247/,"11/24/2012 0:00",13,GA,CLOSED,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.southcoast.org/charlton/,31537
20,"600 N LEWIS AVE.","NOT AVAILABLE",103,"NEW IBERIA",USA,IBERIA,22045,Y,5870563,30.00690698,-91.79452385,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","DAUTERIVE HOSPITAL",PROPRIETARY,103,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(337) 365-7311","NOT AVAILABLE","GENERAL ACUTE CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.dauterivehospital.com,70563
