fid,address,beds,city,country,county,id,latitude,longitude,name,population,sourcedate,state,status,telephone,type,website,zip,,,,,,,,
1,1025 NORTH DOUTY STREET,49,HANFORD,USA,KINGS,5793230,36.33615885,-119.6456673,CENTRAL VALLEY GENERAL HOSPITAL,49,2/4/2016 0:00,CA,CLOSED,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.hanfordhealth.com,93230,,,,,,,,
2,150 VIA MERIDA,62,WESTLAKE VILAGE,USA,VENTURA,53391362,34.15493887,-118.8157364,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,62,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.losrobleshospital.com,91362,,,,,,,,
3,4060 WHITTIER BOULEVARD,127,LOS ANGELES,USA,LOS ANGELES,11190023,34.0236473,-118.1841648,EAST LOS ANGELES DOCTORS HOSPITAL,127,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.elalax.com,90023,,,,,,,,
4,6245 DE LONGPRE AVENUE,100,HOLLYWOOD,USA,LOS ANGELES,17090028,34.09639136,-118.3252349,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,100,8/2/2019 0:00,CA,OPEN,(323) 462-2271,GENERAL ACUTE CARE,http://sch-hollywood.com/,90028,,,,,,,,
5,14148 FRANCISQUITO AVENUE,95,BALDWIN PARK,USA,LOS ANGELES,23691706,34.06303893,-117.9674378,KINDRED HOSPITAL BALDWIN PARK,95,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.khbaldwinpark.com,91706,,,,,,,,
6,3700 EAST SOUTH STREET,172,LAKEWOOD,USA,LOS ANGELES,25190712,33.85970662,-118.148403,LAKEWOOD REGIONAL MEDICAL CENTER,172,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.lakewoodregional.com,90712,,,,,,,,
7,323 SOUTH HELIOTROPE AVENUE,49,MONROVIA,USA,LOS ANGELES,30791016,34.14875866,-117.9926677,MONROVIA MEMORIAL HOSPITAL,49,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.monroviamemorial.com,91016,,,,,,,,
8,900 SOUTH ATLANTIC BOULEVARD,101,MONTEREY PARK,USA,LOS ANGELES,30891754,34.04946606,-118.1382622,MONTEREY PARK HOSPITAL,101,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.montereyparkhosp.com,91754,,,,,,,,
9,4025 WEST 226 STREET,16,TORRANCE,USA,LOS ANGELES,47090505,33.82391446,-118.3560969,STAR VIEW ADOLESCENT - P H F,16,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,PSYCHIATRIC,http://www.starsinc.com/,90505,,,,,,,,
10,730 MAGNOLIA AVENUE,78,CORONA,USA,RIVERSIDE,9092879,33.85808331,-117.553858,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,78,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.coronaregional.com,92879,,,,,,,,
11,228 MC DOWELL STREET,87,ALTURAS,USA,MODOC,30696101,41.48005626,-120.545744,MODOC MEDICAL CENTER,87,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.modocmedicalcenter.org,96101,,,,,,,,
12,450 EAST ROMIE LANE,269,SALINAS,USA,MONTEREY,38593901,36.65903046,-121.6459838,SALINAS VALLEY MEMORIAL HOSPITAL,269,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.svmh.com,93901,,,,,,,,
13,1310 THIRD STREET,189,CORPUS CHRISTI,USA,NUECES,12678414,27.77851017,-97.39620831,CORPUS CHRISTI SPECIALTY HOSPITAL,189,9/23/2014 0:00,TX,CLOSED,(361) 888-4323,GENERAL ACUTE CARE,NOT AVAILABLE,78414,,,,,,,,
14,393 S. TUSTIN STREET,27,ORANGE,USA,ORANGE,15992866,33.78272717,-117.8338919,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,27,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,CHILDREN,http://www.healthbridgeorange.com,92866,,,,,,,,
